Format Version,1.23,Take Name,FlacoFPV5s_withGoPro_003,Take Notes,,Capture Frame Rate,180.000000,Export Frame Rate,180.000000,Capture Start Time,2018-11-07 03.23.19.036 PM,Total Frames in Take,28961,Total Exported Frames,28961,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Flaco5s,Flaco5s,Flaco5s,Flaco5s,Flaco5s,Flaco5s,Flaco5s,Flaco5s
,ID,"51B46CE0E2E311E8B3FD50CD8B7040A6","51B46CE0E2E311E8B3FD50CD8B7040A6","51B46CE0E2E311E8B3FD50CD8B7040A6","51B46CE0E2E311E8B3FD50CD8B7040A6","51B46CE0E2E311E8B3FD50CD8B7040A6","51B46CE0E2E311E8B3FD50CD8B7040A6","51B46CE0E2E311E8B3FD50CD8B7040A6","51B46CE0E2E311E8B3FD50CD8B7040A6"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
0,0.000000,0.001987,-0.016771,0.009546,0.999812,6.479827,53.565514,-13.483510,0.687823
1,0.005556,0.002065,-0.016833,0.009580,0.999810,6.477777,53.568840,-13.489347,0.671631
2,0.011111,0.002145,-0.016945,0.009662,0.999807,6.491014,53.573158,-13.494903,0.683407
3,0.016667,0.002033,-0.016796,0.009568,0.999811,6.475602,53.578354,-13.485838,0.678562
4,0.022222,0.001926,-0.016817,0.009638,0.999810,6.480042,53.581501,-13.491398,0.649966
5,0.027778,0.002056,-0.016893,0.009648,0.999809,6.476651,53.576065,-13.496680,0.636891
6,0.033333,0.001988,-0.016821,0.009600,0.999810,6.480178,53.569035,-13.495322,0.679323
7,0.038889,0.002016,-0.016790,0.009541,0.999812,6.486724,53.576771,-13.491849,0.676242
8,0.044444,0.002003,-0.016765,0.009544,0.999812,6.478804,53.569923,-13.480978,0.658549
9,0.050000,-0.001433,0.016814,-0.009433,-0.999813,6.464563,53.497192,-13.480382,0.675356
10,0.055556,-0.001841,0.016815,-0.009520,-0.999812,6.480399,53.551498,-13.489447,0.679333
11,0.061111,-0.001986,0.016797,-0.009565,-0.999811,6.483107,53.569641,-13.486418,0.687048
12,0.066667,-0.002023,0.016897,-0.009635,-0.999809,6.478248,53.565979,-13.498090,0.664374
13,0.072222,-0.002105,0.016927,-0.009646,-0.999808,6.473750,53.564774,-13.502497,0.629966
14,0.077778,-0.002066,0.016929,-0.009676,-0.999808,6.473248,53.557419,-13.504251,0.634668
15,0.083333,-0.001892,0.016926,-0.009763,-0.999807,6.474050,53.565594,-13.505744,0.688566
16,0.088889,-0.001903,0.016772,-0.009618,-0.999811,6.476833,53.562317,-13.495181,0.683972
17,0.094444,-0.002036,0.016810,-0.009577,-0.999811,6.489988,53.578266,-13.483956,0.651456
18,0.100000,-0.001959,0.016819,-0.009595,-0.999811,6.490441,53.570366,-13.494448,0.674047
19,0.105556,-0.002057,0.016901,-0.009656,-0.999808,6.488132,53.564491,-13.498070,0.674571
20,0.111111,-0.002114,0.016901,-0.009644,-0.999808,6.476208,53.568787,-13.502964,0.640675
21,0.116667,-0.002082,0.016947,-0.009698,-0.999807,6.475148,53.566807,-13.506863,0.641271
22,0.122222,-0.001959,0.016814,-0.009597,-0.999811,6.478528,53.560654,-13.502976,0.652710
23,0.127778,-0.001913,0.016749,-0.009607,-0.999812,6.472085,53.569019,-13.492790,0.684243
24,0.133333,-0.001955,0.016811,-0.009614,-0.999811,6.479841,53.564308,-13.493848,0.652278
25,0.138889,-0.002025,0.016889,-0.009639,-0.999809,6.481829,53.555546,-13.500062,0.669765
26,0.144444,-0.002057,0.016943,-0.009649,-0.999808,6.477599,53.556038,-13.506199,0.676400
