Format Version,1.23,Take Name,FlacoLOS5s_withGoPro_003,Take Notes,,Capture Frame Rate,180.000000,Export Frame Rate,180.000000,Capture Start Time,2018-11-07 11.49.20.540 AM,Total Frames in Take,35281,Total Exported Frames,35281,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody
,ID,"B79058DDE2C411E8B3FD50CD8B7040A6","B79058DDE2C411E8B3FD50CD8B7040A6","B79058DDE2C411E8B3FD50CD8B7040A6","B79058DDE2C411E8B3FD50CD8B7040A6","B79058DDE2C411E8B3FD50CD8B7040A6","B79058DDE2C411E8B3FD50CD8B7040A6","B79058DDE2C411E8B3FD50CD8B7040A6","B79058DDE2C411E8B3FD50CD8B7040A6"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
0,0.000000,-0.001203,0.025637,0.005468,0.999656,7.377719,46.087467,-17.301279,0.232426
1,0.005556,-0.001473,0.024952,0.006601,0.999666,7.432242,46.123222,-17.329597,0.240070
2,0.011111,-0.001601,0.025238,0.006467,0.999659,7.446073,46.056683,-17.325140,0.352924
3,0.016667,-0.001568,0.025058,0.006296,0.999665,7.407866,46.068138,-17.337536,0.280899
4,0.022222,,,,,,,,
5,0.027778,0.001196,-0.025779,-0.005462,-0.999652,7.401003,46.097092,-17.270428,0.178044
6,0.033333,0.001376,-0.025089,-0.006490,-0.999663,7.428676,46.121101,-17.365488,0.220142
7,0.038889,0.001526,-0.025193,-0.006592,-0.999660,7.439749,46.074192,-17.349754,0.276342
8,0.044444,0.001508,-0.025379,-0.006420,-0.999656,7.448075,46.069462,-17.328396,0.261952
9,0.050000,0.001526,-0.024963,-0.006498,-0.999666,7.421451,46.072315,-17.362410,0.268397
10,0.055556,0.001190,-0.025942,-0.005533,-0.999647,7.425982,46.094627,-17.280491,0.164804
11,0.061111,0.001232,-0.025298,-0.006485,-0.999658,7.455226,46.087555,-17.345823,0.259655
12,0.066667,0.001472,-0.025110,-0.006410,-0.999663,7.434131,46.063492,-17.361168,0.289579
13,0.072222,0.001402,-0.025269,-0.006449,-0.999659,7.429220,46.033253,-17.313725,0.256961
14,0.077778,0.001337,-0.024988,-0.006907,-0.999663,7.454730,46.086559,-17.344149,0.248494
15,0.083333,0.001362,-0.025021,-0.006580,-0.999664,7.434042,46.118744,-17.318705,0.220391
16,0.088889,0.001365,-0.025126,-0.006531,-0.999662,7.448574,46.036987,-17.337973,0.317146
17,0.094444,0.001349,-0.025234,-0.006451,-0.999660,7.456393,46.018158,-17.372410,0.315115
18,0.100000,0.001445,-0.025150,-0.006584,-0.999661,7.439640,46.099197,-17.333042,0.231405
19,0.105556,0.001221,-0.025383,-0.006645,-0.999655,7.473827,46.035515,-17.364042,0.308399
20,0.111111,0.001240,-0.025426,-0.006372,-0.999656,7.458994,46.053802,-17.348984,0.255567
