Format Version,1.23,Take Name,OrcaFPV_NoGoPro_001,Take Notes,,Capture Frame Rate,180.000000,Export Frame Rate,180.000000,Capture Start Time,2018-11-07 01.53.44.543 PM,Total Frames in Take,38946,Total Exported Frames,38946,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Orca_NoGoPro,Orca_NoGoPro,Orca_NoGoPro,Orca_NoGoPro,Orca_NoGoPro,Orca_NoGoPro,Orca_NoGoPro,Orca_NoGoPro
,ID,"BEA8790EE2D511E8B3FD50CD8B7040A6","BEA8790EE2D511E8B3FD50CD8B7040A6","BEA8790EE2D511E8B3FD50CD8B7040A6","BEA8790EE2D511E8B3FD50CD8B7040A6","BEA8790EE2D511E8B3FD50CD8B7040A6","BEA8790EE2D511E8B3FD50CD8B7040A6","BEA8790EE2D511E8B3FD50CD8B7040A6","BEA8790EE2D511E8B3FD50CD8B7040A6"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
0,0.000000,-0.014092,-0.040177,-0.033193,0.998542,2.676338,36.085045,25.721321,0.240622
1,0.005556,-0.014114,-0.040179,-0.033217,0.998541,2.681562,36.095127,25.720648,0.242525
2,0.011111,-0.014084,-0.040158,-0.033202,0.998542,2.674083,36.096394,25.724293,0.244527
3,0.016667,-0.014010,-0.040191,-0.033166,0.998543,2.682259,36.114052,25.724060,0.247335
4,0.022222,-0.014012,-0.040214,-0.033133,0.998543,2.686068,36.115997,25.722301,0.246093
5,0.027778,0.014128,0.040128,0.033229,-0.998542,2.665957,36.112270,25.726772,0.252776
6,0.033333,0.014048,0.040221,0.033140,-0.998542,2.676935,36.117897,25.725178,0.245447
7,0.038889,0.014031,0.040200,0.033134,-0.998544,2.681352,36.124626,25.725607,0.249489
8,0.044444,0.014031,0.040202,0.033134,-0.998544,2.680985,36.126259,25.728857,0.246915
9,0.050000,0.014057,0.040188,0.033137,-0.998544,2.679286,36.131138,25.735357,0.253351
10,0.055556,0.014051,0.040189,0.033129,-0.998544,2.681923,36.126907,25.734615,0.252609
11,0.061111,0.014041,0.040200,0.033124,-0.998544,2.684567,36.125435,25.730700,0.248520
12,0.066667,0.014057,0.040176,0.033159,-0.998543,2.684204,36.132210,25.729969,0.249062
13,0.072222,0.014060,0.040195,0.033125,-0.998544,2.679931,36.133564,25.730076,0.250511
14,0.077778,0.014058,0.040190,0.033131,-0.998544,2.680112,36.130020,25.729597,0.246117
15,0.083333,0.014054,0.040172,0.033133,-0.998544,2.678363,36.128723,25.731829,0.251971
16,0.088889,0.014045,0.040183,0.033154,-0.998543,2.683662,36.124451,25.730747,0.247994
17,0.094444,0.014036,0.040196,0.033137,-0.998544,2.690673,36.124565,25.726582,0.251056
18,0.100000,0.014042,0.040184,0.033144,-0.998544,2.688303,36.122543,25.729614,0.249426
19,0.105556,0.014034,0.040201,0.033126,-0.998544,2.694273,36.122646,25.723791,0.246793
20,0.111111,0.014046,0.040215,0.033115,-0.998543,2.700397,36.115410,25.722269,0.244626
21,0.116667,0.014014,0.040217,0.033115,-0.998544,2.698594,36.113113,25.719173,0.242423
22,0.122222,0.014072,0.040177,0.033229,-0.998541,2.682544,36.096809,25.719774,0.238863
23,0.127778,0.014085,0.040168,0.033252,-0.998540,2.679693,36.087177,25.722322,0.238813
24,0.133333,0.014096,0.040165,0.033224,-0.998541,2.684446,36.090343,25.718933,0.242110
25,0.138889,0.013994,0.040219,0.033125,-0.998544,2.701756,36.095482,25.714422,0.238350
26,0.144444,0.014017,0.040189,0.033227,-0.998541,2.689917,36.077908,25.711163,0.236961
27,0.150000,0.013971,0.040258,0.033182,-0.998541,2.699703,36.084637,25.711271,0.236063
28,0.155556,0.014039,0.040172,0.033188,-0.998543,2.692147,36.079407,25.710007,0.239877
29,0.161111,0.014074,0.040171,0.033215,-0.998541,2.687688,36.082172,25.717073,0.237931
30,0.166667,0.014089,0.040176,0.033212,-0.998541,2.687474,36.082123,25.718533,0.238359
31,0.172222,0.014086,0.040172,0.033233,-0.998541,2.686356,36.084328,25.718822,0.238878
32,0.177778,0.014076,0.040199,0.033235,-0.998540,2.680665,36.078827,25.718805,0.232249
33,0.183333,0.014102,0.040172,0.033221,-0.998541,2.680868,36.083595,25.724642,0.236522
34,0.188889,0.014060,0.040146,0.033265,-0.998541,2.680821,36.082069,25.718222,0.240913
