Format Version,1.23,Take Name,OrcaLOS_NoGoPro_001,Take Notes,,Capture Frame Rate,180.000000,Export Frame Rate,180.000000,Capture Start Time,2018-11-07 01.44.44.512 PM,Total Frames in Take,39343,Total Exported Frames,39343,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Orca_NoGoPro,Orca_NoGoPro,Orca_NoGoPro,Orca_NoGoPro,Orca_NoGoPro,Orca_NoGoPro,Orca_NoGoPro,Orca_NoGoPro
,ID,"BEA8790EE2D511E8B3FD50CD8B7040A6","BEA8790EE2D511E8B3FD50CD8B7040A6","BEA8790EE2D511E8B3FD50CD8B7040A6","BEA8790EE2D511E8B3FD50CD8B7040A6","BEA8790EE2D511E8B3FD50CD8B7040A6","BEA8790EE2D511E8B3FD50CD8B7040A6","BEA8790EE2D511E8B3FD50CD8B7040A6","BEA8790EE2D511E8B3FD50CD8B7040A6"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
0,0.000000,-0.029674,0.009648,-0.033030,0.998967,-2.418440,38.998711,20.506533,0.165439
1,0.005556,-0.029685,0.009652,-0.033034,0.998967,-2.415137,38.997108,20.506771,0.158004
2,0.011111,-0.029640,0.009641,-0.032986,0.998970,-2.419516,38.984200,20.512217,0.166313
3,0.016667,-0.029646,0.009649,-0.033015,0.998968,-2.416547,39.000267,20.507692,0.156863
4,0.022222,-0.029666,0.009640,-0.033034,0.998967,-2.413338,39.001907,20.507280,0.162232
5,0.027778,0.029668,-0.009651,0.033020,-0.998968,-2.412401,38.999401,20.509380,0.162922
6,0.033333,0.029685,-0.009631,0.033035,-0.998967,-2.414180,39.001816,20.506529,0.162952
7,0.038889,0.029649,-0.009586,0.033007,-0.998969,-2.404088,39.001472,20.507317,0.158823
8,0.044444,0.029658,-0.009579,0.032963,-0.998971,-2.413085,38.982704,20.510937,0.171386
9,0.050000,0.029663,-0.009588,0.033005,-0.998969,-2.406084,38.991013,20.510921,0.161126
10,0.055556,0.029685,-0.009569,0.033010,-0.998968,-2.404540,38.991711,20.513544,0.166345
11,0.061111,0.029675,-0.009598,0.032993,-0.998969,-2.412706,38.998363,20.511881,0.164342
12,0.066667,0.029700,-0.009606,0.032979,-0.998968,-2.410727,38.997089,20.512960,0.162531
13,0.072222,0.029701,-0.009613,0.032967,-0.998969,-2.413422,38.995659,20.509602,0.161827
14,0.077778,0.029686,-0.009575,0.032954,-0.998970,-2.417615,38.983803,20.518856,0.171265
15,0.083333,0.029689,-0.009605,0.032995,-0.998968,-2.420286,38.998615,20.510458,0.163172
16,0.088889,0.029694,-0.009594,0.032977,-0.998969,-2.417434,39.003437,20.506979,0.161512
17,0.094444,0.029703,-0.009621,0.033012,-0.998967,-2.418368,39.008404,20.507082,0.162973
18,0.100000,0.029682,-0.009604,0.033016,-0.998968,-2.419015,39.006126,20.508127,0.168164
19,0.105556,0.029687,-0.009618,0.033009,-0.998968,-2.422010,39.005829,20.509079,0.157294
20,0.111111,0.029683,-0.009601,0.032977,-0.998969,-2.424504,38.999359,20.509893,0.161751
21,0.116667,0.029673,-0.009588,0.032972,-0.998970,-2.417315,38.997757,20.511393,0.156946
22,0.122222,0.029669,-0.009575,0.032985,-0.998970,-2.413104,38.997265,20.515179,0.154008
23,0.127778,0.029683,-0.009585,0.033000,-0.998968,-2.412404,38.996906,20.518661,0.161737
24,0.133333,0.029621,-0.009583,0.033100,-0.998967,-2.416538,38.995193,20.518351,0.155281
25,0.138889,0.029659,-0.009595,0.033040,-0.998968,-2.416499,39.005638,20.517143,0.162704
26,0.144444,0.029652,-0.009591,0.033048,-0.998968,-2.416244,39.004650,20.517529,0.160073
27,0.150000,0.029684,-0.009587,0.033066,-0.998966,-2.411728,38.999847,20.515623,0.168264
28,0.155556,0.029668,-0.009601,0.033047,-0.998967,-2.414478,38.998650,20.515503,0.156908
29,0.161111,0.029612,-0.009662,0.033094,-0.998967,-2.403731,38.994202,20.500422,0.153965
30,0.166667,0.029589,-0.009680,0.033101,-0.998967,-2.406952,38.992786,20.494213,0.159134
31,0.172222,0.029598,-0.009679,0.033054,-0.998968,-2.414632,38.973949,20.504705,0.174546
32,0.177778,0.029588,-0.009688,0.033051,-0.998969,-2.410711,38.984673,20.493275,0.160316
