Format Version,1.23,Take Name,Racer3FPV_withGoPro_003,Take Notes,,Capture Frame Rate,180.000000,Export Frame Rate,180.000000,Capture Start Time,2018-11-07 11.14.21.278 AM,Total Frames in Take,34356,Total Exported Frames,34356,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Racer3,Racer3,Racer3,Racer3,Racer3,Racer3,Racer3,Racer3
,ID,"AA9AEE65E2B711E8B3FD50CD8B7040A6","AA9AEE65E2B711E8B3FD50CD8B7040A6","AA9AEE65E2B711E8B3FD50CD8B7040A6","AA9AEE65E2B711E8B3FD50CD8B7040A6","AA9AEE65E2B711E8B3FD50CD8B7040A6","AA9AEE65E2B711E8B3FD50CD8B7040A6","AA9AEE65E2B711E8B3FD50CD8B7040A6","AA9AEE65E2B711E8B3FD50CD8B7040A6"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
0,0.000000,-0.003530,0.010893,-0.003068,-0.999930,3.305054,29.481426,-8.646023,0.307126
1,0.005556,-0.003633,0.010915,-0.003049,-0.999929,3.292490,29.456367,-8.656998,0.299676
2,0.011111,-0.003646,0.010906,-0.003008,-0.999929,3.291552,29.444399,-8.657370,0.296719
3,0.016667,-0.003532,0.010919,-0.003108,-0.999929,3.289085,29.484344,-8.655353,0.275639
4,0.022222,,,,,,,,
5,0.027778,-0.003524,0.010885,-0.003068,-0.999930,3.305042,29.486271,-8.648546,0.305974
6,0.033333,-0.003575,0.010929,-0.003129,-0.999929,3.294261,29.480383,-8.658316,0.272258
7,0.038889,-0.003539,0.010904,-0.003088,-0.999930,3.305303,29.482548,-8.651203,0.302181
8,0.044444,-0.003635,0.010910,-0.003006,-0.999929,3.292679,29.468191,-8.661098,0.303499
9,0.050000,-0.003540,0.010936,-0.003081,-0.999929,3.283051,29.486380,-8.660625,0.275131
10,0.055556,-0.003533,0.010931,-0.003138,-0.999929,3.283828,29.476694,-8.659790,0.269122
11,0.061111,-0.003530,0.010927,-0.003157,-0.999929,3.290432,29.474243,-8.657996,0.274535
