Format Version,1.23,Take Name,Tweaker4FPV_WithGoPro_001,Take Notes,,Capture Frame Rate,180.000000,Export Frame Rate,180.000000,Capture Start Time,2018-11-07 02.41.25.539 PM,Total Frames in Take,27287,Total Exported Frames,27287,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Tweaker4,Tweaker4,Tweaker4,Tweaker4,Tweaker4,Tweaker4,Tweaker4,Tweaker4
,ID,"CE879A41E2DC11E8B3FD50CD8B7040A6","CE879A41E2DC11E8B3FD50CD8B7040A6","CE879A41E2DC11E8B3FD50CD8B7040A6","CE879A41E2DC11E8B3FD50CD8B7040A6","CE879A41E2DC11E8B3FD50CD8B7040A6","CE879A41E2DC11E8B3FD50CD8B7040A6","CE879A41E2DC11E8B3FD50CD8B7040A6","CE879A41E2DC11E8B3FD50CD8B7040A6"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
0,0.000000,0.002939,-0.020345,-0.000754,-0.999788,-6.969996,44.802155,-23.448666,0.325480
1,0.005556,0.002926,-0.020325,-0.000716,-0.999789,-6.980022,44.807472,-23.440098,0.345834
2,0.011111,0.002933,-0.020296,-0.000679,-0.999789,-6.989908,44.810825,-23.438255,0.336598
3,0.016667,0.003004,-0.020297,-0.000634,-0.999789,-6.987783,44.820984,-23.432800,0.332277
4,0.022222,0.002927,-0.020346,-0.000759,-0.999788,-6.976106,44.805431,-23.445999,0.331086
5,0.027778,0.002929,-0.020303,-0.000694,-0.999789,-6.983965,44.812935,-23.439379,0.339581
6,0.033333,0.002925,-0.020365,-0.000720,-0.999788,-6.982561,44.811977,-23.446363,0.335234
7,0.038889,0.002914,-0.020313,-0.000717,-0.999789,-6.982982,44.809383,-23.438057,0.342593
8,0.044444,0.001673,-0.020668,-0.000512,-0.999785,-7.026892,44.952637,-23.405968,0.317866
9,0.050000,0.002811,-0.020294,-0.000597,-0.999790,-7.001928,44.845444,-23.429394,0.328525
10,0.055556,0.002964,-0.020280,-0.000793,-0.999790,-6.983707,44.808254,-23.448721,0.329657
11,0.061111,0.003081,-0.020227,-0.000668,-0.999790,-6.986423,44.818768,-23.441525,0.327358
12,0.066667,0.003088,-0.020240,-0.000707,-0.999790,-6.986804,44.807423,-23.437723,0.331985
13,0.072222,0.003078,-0.020301,-0.000620,-0.999789,-6.993502,44.819435,-23.427158,0.334327
14,0.077778,0.003050,-0.020309,-0.000625,-0.999789,-6.985573,44.820805,-23.425802,0.331877
15,0.083333,0.002902,-0.020402,-0.000762,-0.999787,-6.976230,44.805428,-23.436338,0.329934
16,0.088889,0.002908,-0.020321,-0.000676,-0.999789,-6.986882,44.809113,-23.431370,0.336411
17,0.094444,0.002914,-0.020271,-0.000719,-0.999790,-6.995702,44.811741,-23.435984,0.332272
18,0.100000,0.002973,-0.020302,-0.000649,-0.999789,-6.994419,44.816723,-23.433048,0.329955
19,0.105556,0.002888,-0.020392,-0.000749,-0.999788,-6.975557,44.807980,-23.438740,0.327888
20,0.111111,0.002943,-0.020283,-0.000760,-0.999790,-6.988424,44.808838,-23.438158,0.335292
21,0.116667,0.002894,-0.020330,-0.000752,-0.999789,-6.978058,44.812313,-23.446299,0.327405
22,0.122222,0.002941,-0.020337,-0.000742,-0.999789,-6.968037,44.809189,-23.446154,0.324176
23,0.127778,0.002960,-0.020327,-0.000763,-0.999789,-6.964860,44.808159,-23.447735,0.330993
24,0.133333,0.002922,-0.020256,-0.000666,-0.999790,-6.980278,44.817146,-23.442171,0.337600
25,0.138889,0.002968,-0.020276,-0.000630,-0.999790,-6.982466,44.817104,-23.439444,0.334456
