Format Version,1.23,Take Name,Tweaker4LOS_WithGoPro_005,Take Notes,,Capture Frame Rate,180.000000,Export Frame Rate,180.000000,Capture Start Time,2018-11-07 03.34.45.325 PM,Total Frames in Take,21875,Total Exported Frames,21875,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Tweaker4,Tweaker4,Tweaker4,Tweaker4,Tweaker4,Tweaker4,Tweaker4,Tweaker4
,ID,"F56E575AE2E411E8B3FD50CD8B7040A6","F56E575AE2E411E8B3FD50CD8B7040A6","F56E575AE2E411E8B3FD50CD8B7040A6","F56E575AE2E411E8B3FD50CD8B7040A6","F56E575AE2E411E8B3FD50CD8B7040A6","F56E575AE2E411E8B3FD50CD8B7040A6","F56E575AE2E411E8B3FD50CD8B7040A6","F56E575AE2E411E8B3FD50CD8B7040A6"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
0,0.000000,-0.093319,0.001338,0.091647,-0.991409,10.255795,45.827969,19.213905,0.359391
1,0.005556,-0.093301,0.001261,0.091670,-0.991408,10.251052,45.832336,19.216759,0.364608
2,0.011111,-0.093288,0.001263,0.091699,-0.991407,10.246840,45.832561,19.212191,0.360707
3,0.016667,-0.093330,0.001280,0.091686,-0.991404,10.257843,45.826820,19.212910,0.364213
4,0.022222,-0.093315,0.001243,0.091731,-0.991401,10.244532,45.824169,19.211842,0.364508
5,0.027778,-0.093323,0.001361,0.091607,-0.991412,10.239935,45.842220,19.226894,0.374523
6,0.033333,-0.093302,0.001259,0.091668,-0.991408,10.253238,45.832783,19.215559,0.369254
7,0.038889,-0.093299,0.001241,0.091720,-0.991404,10.260509,45.829670,19.214458,0.366777
8,0.044444,-0.093351,0.001245,0.091706,-0.991400,10.251419,45.829384,19.214544,0.361066
9,0.050000,-0.093240,0.001624,0.091527,-0.991427,10.291533,45.811470,19.169300,0.305757
10,0.055556,-0.093360,0.001348,0.091638,-0.991405,10.264431,45.821098,19.202793,0.370717
11,0.061111,-0.093288,0.001331,0.091667,-0.991410,10.255758,45.829708,19.213615,0.364006
12,0.066667,-0.093318,0.001421,0.091596,-0.991413,10.240474,45.836468,19.231947,0.367434
13,0.072222,-0.093291,0.001333,0.091651,-0.991411,10.247263,45.834667,19.218840,0.365414
14,0.077778,-0.093285,0.001391,0.091564,-0.991419,10.248772,45.842461,19.224342,0.360208
15,0.083333,-0.093338,0.001314,0.091618,-0.991409,10.256544,45.831062,19.219130,0.368523
16,0.088889,-0.093311,0.001350,0.091583,-0.991415,10.239949,45.833351,19.229240,0.370973
17,0.094444,-0.093297,0.001285,0.091670,-0.991408,10.240539,45.835133,19.211760,0.366469
18,0.100000,-0.093306,0.001355,0.091575,-0.991416,10.233986,45.840527,19.226484,0.371098
19,0.105556,-0.093274,0.001285,0.091683,-0.991409,10.249752,45.830128,19.214664,0.358111
20,0.111111,-0.093342,0.001224,0.091652,-0.991406,10.242269,45.826908,19.203308,0.371909
21,0.116667,-0.093315,0.001265,0.091694,-0.991405,10.248926,45.815025,19.203560,0.374544
22,0.122222,-0.093252,0.001271,0.091687,-0.991411,10.249768,45.820698,19.200920,0.368658
23,0.127778,-0.093288,0.001271,0.091697,-0.991407,10.247230,45.825611,19.204872,0.369342
24,0.133333,-0.093253,0.001293,0.091701,-0.991410,10.252312,45.831707,19.203283,0.364754
25,0.138889,-0.093315,0.001289,0.091722,-0.991402,10.251737,45.827400,19.210236,0.368468
26,0.144444,-0.093240,0.001325,0.091733,-0.991408,10.250767,45.834156,19.210258,0.356505
27,0.150000,-0.093257,0.001354,0.091710,-0.991408,10.254417,45.833599,19.214186,0.366073
28,0.155556,-0.093270,0.001290,0.091654,-0.991412,10.252118,45.830341,19.206100,0.365148
29,0.161111,-0.093309,0.001259,0.091708,-0.991404,10.256119,45.833057,19.203438,0.376484
30,0.166667,-0.093256,0.001303,0.091643,-0.991415,10.245629,45.844948,19.208904,0.358557
31,0.172222,-0.093316,0.001277,0.091766,-0.991398,10.252907,45.828590,19.206434,0.374494
32,0.177778,-0.093309,0.001281,0.091760,-0.991399,10.255341,45.827713,19.202856,0.364068
33,0.183333,-0.093290,0.001404,0.091675,-0.991409,10.250722,45.841957,19.223064,0.373369
34,0.188889,-0.093374,0.001267,0.091647,-0.991403,10.253693,45.829838,19.211452,0.370532
35,0.194444,-0.093369,0.001269,0.091667,-0.991402,10.254362,45.830425,19.211332,0.372192
36,0.200000,-0.093298,0.001282,0.091673,-0.991408,10.251510,45.831203,19.211687,0.363690
37,0.205556,-0.093298,0.001289,0.091694,-0.991406,10.252257,45.834156,19.212889,0.372496
38,0.211111,-0.093269,0.001308,0.091740,-0.991405,10.252031,45.826275,19.209137,0.366344
39,0.216667,-0.093311,0.001244,0.091753,-0.991400,10.249321,45.828594,19.205679,0.366133
