template.example-text,Example Text,text
template.example-text@property-float,2.5,text
template.example-text@property-int,2.0,text
template.example-text@property-bool,true,text
template.example-image,path/to/image-file,image
template.example-audio,path/to/audio-file,audio
template.garage.bars.thrust.label ,"",
ui.label.loading,Loading,text
ui.label.loading@upper,LOADING,text
ui.label.coming-soon,Coming Soon,text
ui.label.coming-soon@upper,COMING SOON,text
ui.label.get-ready-coming-soon,GET READY. COMING SOON,text
ui.label.click-to-unlock,Click to Unlock,text
ui.label.click-to-unlock@upper,CLICK TO UNLOCK,text
ui.label.elapsed,Elapsed,text
ui.label.time,Time,text
ui.label.position,Position,text
ui.label.back,Back,text
ui.label.next,Next,text
ui.label.exit,Exit,text
ui.label.leaders,Leaders,text
ui.common.back,BACK,text
ui.common.next,NEXT,text
ui.common.watch,WATCH,text
ui.common.connecting,CONNECTING...,text
ui.common.no-hardware,NO HARDWARE,text
ui.common.loading-w-dots,LOADING...,text
ui.common.please-select,<PLEASE SELECT>,text
ui.common.yes,YES,text
ui.common.no,NO,text
ui.common.ok,OK,text
ui.common.dismiss,DISMISS,text
ui.common.start,START,text
ui.common.operation-failure,OPERATION FAILURE,text
ui.offline.status,UNAVAILABLE (OFFLINE),text
ui.connection.online,ONLINE,text
ui.connection.offline,OFFLINE,text
ui.dialog.controller-disconnected.title,CONTROLLER DISCONNECTED,text
ui.dialog.controller-disconnected.desc,"Warning, there is no controller connected to your system. Please reconnect your controller.",text
ui.dialog.connection.network-disconnected.title,NETWORK DISCONNECTED,text
ui.dialog.connection.network-disconnected.desc,"Warning, please check your internet connection.",text
ui.dialog.offline.network-disconnected.title,NETWORK DISCONNECTED,text
ui.dialog.offline.network-disconnected.desc,This feature is unavailable in offline mode.,text
ui.dialog.signed-in.title,SIGNED IN,text
ui.dialog.signed-in.desc,A new sign-in has been detected and the game will restart.,text
ui.dialog.signed-out.title,SIGNED OUT,text
ui.dialog.signed-out.desc,User has signed out and the game will restart.,text
ui.dialog.go-online.title,GO ONLINE,text
ui.dialog.go-online.desc,Do you want to launch the game in online mode?,text
ui.dialog.go-offline.title,GO OFFLINE,text
ui.dialog.go-offline.desc,"You are going offline even though you have an internet connection. When you are ready to go back online, please press the offline button on the footer.

<b>PLEASE NOTE THAT RACE TIMES IN OFFLINE WILL NOT BE UPLOADED TO THE ONLINE LEADERBOARD.</b>",text
ui.dialog.server-disconnected.title,SERVER DISCONNECTED,text
ui.dialog.server-disconnected.desc,We are curently experiencing server issues. Try again shortly.,text
ui.dialog.load-offline.desc,ENTERING OFFLINE MODE...,text
ui.dialog.load-online.desc,ENTERING ONLINE MODE...,text
ui.dialog.connection-lost.title,CONNECTION LOST,text
ui.dialog.connection-lost.desc,Network connection lost. Starting game in offline mode.,text
ui.footer.level,LEVEL,text
ui.footer.xp,XP,text
ui.footer.streak,STREAK,text
ui.footer.race,RACE,text
ui.common.invite,INVITE,text
ui.dialog.leaderboard-reset.title,RESET LEADERBOARD,text
ui.dialog.leaderboard-reset.desc,This will remove all of your leaderboard entries on all tracks. Do you wish to continue?,text
ui.dialog.leaderboard-track-reset.title,RESET LEADERBOARD,text
ui.dialog.leaderboard-track-reset.desc,Reset all leaderboard entries for this track?,text
splash.connecting,CONNECTING...,text
splash.connection-failed,"CONNECTION FAILED. PLEASE, TRY AGAIN LATER.",text
splash.missing-dll,INSTALL ERROR: MISSING VC REDIST 2015.,text
splash.connecting-server,CONNECTING TO SERVER...,text
splash.initializing,INITIALIZING...,text
splash.connection-fail,CONNECTION FAILED!,text
splash.platform-steam-fail,STEAM NOT RUNNING!,text
splash.platform-xbox-fail,XBOX LIVE NOT FOUND!,text
splash.connection-timeout,CONNECTION TIMEOUT!,text
splash.connection-retry,CONNECTION FAILED... RETRY,text
splash.license-check,CHECKING LICENSE...,text
splash.state-load,LOADING GAME STATE...,text
splash.button.connection-check.label,CONNECTION CHECK,text
splash.button.quit.label,QUIT,text
splash.state-download-maps,DOWNLOADING TRACKS FOR OFFLINE USE…,text
splash.loading,LOADING…,text
splash.state-store-maps,STORING TRACKS…,text
splash.start-offline,START OFFLINE,text
splash.state-load,LOADING GAME STATE…,text
splash.license-check,CHECKING LICENSE…,text
splash.state-download-maps-fail,FAILED TO DOWNLOAD TRACKS!,text
social.label.connecting,CONNECTING...,text
social.label.disconnected,DISCONNECTED,text
social.label.not-in-a-room,NOT IN A ROOM,text
social.label.no-threads-found,NO THREADS FOUND,text
social.footer.tabs.chat,CHAT,text
social.footer.tabs.friends,FRIENDS,text
social.footer.tabs.blocked,BLOCKED,text
social.friends.item.sub.private-message,PRIVATE MSG,text
social.friends.item.sub.remove-friend,REMOVE FRIEND,text
social.friends.search.placeholder,SEARCH...,text
social.friends.search.sortby,SORT BY,text
social.friends.search.sort-type,"ONLINE, NAME",text
social.chat.tabs.global,GLOBAL,text
social.chat.tabs.private,PRIVATE,text
social.chat.tabs.game,GAME,text
social.chat.channels,PRESS ALT TO CYCLE CHANNELS,text
social.chat.message.sub.private-message,PRIVATE MSG,text
social.chat.message.sub.add-friend,ADD FRIEND,text
social.social-main,CHAT,text
social.chat.message.time-ago.justnow,just now,text
social.chat.message.time-ago.months-ago,months ago,text
social.chat.message.time-ago.days-ago,days ago,text
social.chat.message.time-ago.hours-ago,hrs ago,text
social.chat.message.time-ago.mins-ago,mins ago,text
social.chat.message.time-ago.one-min-ago,1 min ago,text
social.chat.message.time-ago.moment-ago,a moment ago,text
social.chat.tabs.tournament,TOURNAMENT,text
social.chat.channel.global,[GLOBAL],text
social.chat.channel.vdrl,[LOCAL (TOURNAMENT)],text
social.chat.channel.game,[LOCAL (GAME)],text
social.friends.online,ONLINE,text
social.friends.offline,OFFLINE,text
social.friends.join-my-race,JOIN MY RACE,text
social.friends.snooze,SNOOZE,text
social.friends.accept,ACCEPT,text
social.friends.decline,DECLINE,text
social.friends.no-notifications,NO NOTIFICATIONS AVAILABLE,text
social.chat.need-help,NEED HELP?,text
social.chat.pilot,HEY PILOT!,text
social.chat.channel.private,[PRIVATE @,text
social.chat.type-here,TYPE HERE...,text
notifications.label.connecting,CONNECTING...,text
notifications.ui.join.race,JOIN MY RACE,text
notifications.ui.join.freestyle,JOIN MY FREESTYLE SESSION,text
home.disclaimer,PHYSICS BASED RACER3: 1018g AUW @ 1650g OF THRUST PER MOTOR. STAY TUNED FOR GARAGE MODE.,text
home.card@font-size,60.0,text
home.card.train,TRAIN,text
home.card.train.desc,LEARN TO FLY,text
home.card.fly,FLY,text
home.card.tryouts,TRYOUTS,text
home.card.tryouts.desc,BECOME A DRL PILOT,text
home.card.purchase,PURCHASE,text
home.card.purchase.desc,ACCESS TO THE FULL EXPERIENCE,text
home.card.garage,"U.S. AIR FORCE
WORKBENCH",text
home.card.garage.desc,BUILD YOUR DREAM DRONE,text
home.card.shop,SHOP,text
home.card.leaders,LEADERS,text
home.card.settings,SETTINGS,text
home.card.quit,QUIT,text
home.card.freestyle,FREESTYLE,text
home.card.freestyle.desc,"FLIPFLOPS, GAPS & THE JUICE",text
home.card.make-tracks,"TRACK
EDITOR",text
home.card.make-tracks.desc,SKY IS THE LIMIT,text
home.card.multiplayer,MULTIPLAYER,text
home.card.multiplayer.desc,CHALLENGE THE WORLD,text
home.card.profile,PROFILE,text
home.card.race,SOLO RACE,text
home.card.race.desc,SPRINT TO THE FINISH,text
home.card.physics,PHYSICS,text
home.card.physics.desc,"NEWTON MEETS
QUADCOPTERS",text
home.card.physics.beta,BETA,text
home.screen.title,Home,text
home.warning.below-specs,MACHINE IS BELOW MIN. SPECS,text
home.card.leaders.drl,DRL LEADERS,text
home.card.leaders.open,"OPEN CLASS
LEADERS",text
home.card.community.drones,"COMMUNITY
DRONES",text
home.card.community.drones.field-desc,ALL THE RIGS,text
home.click-drag,CLICK & DRAG,text
home.card.vdrl,TOURNAMENTS,text
home.card.vdrl.desc,NEW CHALLENGES!,text
home.card.store,STORE,text
home.card.store.desc,CUSTOM SKINS,text
home.card.usaf-card,U.S. AIR FORCE,text
home.card.usaf-card.desc,RACE TRACKS,text
home.usaf-night-mode,(NIGHT MODE),text
home.card.fly,FLY,text
home.card.fly.title,FLY,text
home.card.fly.desc,FLY MODE DESCRIPTION HERE,text
home.card.leaders,LEADERS,text
home.card.leaders.desc,FIND THE BEST,text
home.card.leaders.collectables,"SEARCH & DESTROY
LEADERS",text
home.leaders.screen.title,LEADERS,text
home.quests,QUESTS,text
fly.screen.title,FLY,text
fly.screen.race,RACE,text
fly.screen.freefly,FREEFLY,text
fly.screen.lobby,LOBBY,text
fly.screen.freecamera,FreeCamera,text
fly.card@font-size,60.0,text
fly.card.fly-campaign-card,CAMPAIGN,text
fly.card.fly-freecamera-card,"FREE
CAMERA",text
fly.card.fly-sandbox-card,"PHYSICS
SANDBOX
1.0",text
fly.multiplayer.lan,LAN,text
race-hud.label.position,POSITION,text
race-hud.label.time,TIME,text
race-hud.label.laps,LAPS,text
race-hud.warnings.low-fps,LOW FPS - PLEASE REDUCE QUALITY,text
race-hud.warnings.low-signal,LOW RADIO SIGNAL - PLEASE RETURN,text
race-hud.title.get,GET,text
race-hud.title.ready,READY!,text
race-hud.training.timer-countdown,COUNTDOWN,text
race-hud.training.timer-elapsed,ELAPSED,text
race-hud.training.next-button,NEXT,text
race-hud.warnings.training.skip,HOLD 'ANY BUTTON' TO SKIP,text
race-hud.training.gauge.perfect,PERFECT,text
race-hud.training.gauge.distance,DISTANCE,text
race-hud.training.gauge.toofar,TOO FAR,text
race-hud.label.gates,GATES,text
race-hud.label.round-ends,ROUND ENDS IN,text
collectables-hud.label.position,POSITION,text
collectables-hud.label.time,TIME,text
collectables-hud.label.score,SCORE,text
collectables-hud.warnings.low-fps,LOW FPS - PLEASE REDUCE QUALITY,text
collectables-hud.warnings.low-signal,LOW RADIO SIGNAL - PLEASE RETURN,text
collectables-hud.title.get,GET,text
collectables-hud.title.ready,READY!,text
collectables-hud.training.timer-countdown,COUNTDOWN,text
collectables-hud.training.timer-elapsed,ELAPSED,text
collectables-hud.training.next-button,NEXT,text
collectables-hud.warnings.training.skip,HOLD 'ANY BUTTON' TO SKIP,text
collectables-hud.training.gauge.perfect,PERFECT,text
collectables-hud.training.gauge.distance,DISTANCE,text
